"ppt_id","bet_no","bet_time","old_bonus","total_amt_bet","win","new_bonus","average_odds","total_numbers_bet","no_tokens"
"P0743",1,"12:23:51",4,-1,0,3,1.03,18,2
"P0743",2,"12:24:54",3,-2,4,5,1.03,18,2
"P0658",1,"12:30:16",4,-1,0,3,1.03,18,1
"P0658",2,"12:30:29",3,-1,2,4,1.03,18,1
"P0658",3,"12:30:46",4,-1,2,5,1.03,18,1
"P0658",4,"12:31:13",5,-1,0,4,1.03,18,1
"P0658",5,"12:31:30",4,-2,4,6,1.03,18,2
"P1176",1,"12:32:35",4,-0.7,2.8,6.1,1.19,20,2
"P0581",1,"12:35:15",4,-2,2,4,0.03,36,2
"P1056",1,"12:42:13",4,-0.1,0.2,4.1,1.03,18,1
"P1056",2,"12:42:30",4.1,-0.1,0.2,4.2,1.03,18,1
"P1056",3,"12:42:40",4.2,-0.1,0,4.1,1.03,18,1
"P1056",4,"12:42:51",4.1,-0.2,0,3.9,1.03,18,2
"P1056",5,"12:43:08",3.9,-0.4,0.8,4.3,1.03,18,4
"P1056",6,"12:43:19",4.3,-0.1,0.2,4.4,1.03,18,1
"P1056",7,"12:43:29",4.4,-0.1,0.2,4.5,1.03,18,1
"P1056",8,"12:43:38",4.5,-0.1,0.2,4.6,1.03,18,1
"P1056",9,"12:43:49",4.6,-0.1,0.2,4.7,1.03,18,1
"P1056",10,"12:43:59",4.7,-0.1,0.2,4.8,1.03,18,1
"P1056",11,"12:44:10",4.8,-0.1,0.2,4.9,1.03,18,1
"P1056",12,"12:44:20",4.9,-0.1,0.2,5,1.03,18,1
"P0411",1,"12:45:31",4,-1,0,3,1.03,18,1
"P0193",1,"12:46:30",4,-1,1.5,4.5,0.53,24,2
"P0411",2,"12:46:46",3,-1,0,2,1.03,18,1
"P0420",1,"12:47:01",4,-2,0,2,2.96,11,4
"P0193",2,"12:47:36",4.5,-0.5,0,4,35.03,1,1
"P0276",1,"12:47:49",4,-2,0,2,1.03,18,2
"P0411",3,"12:47:51",2,-2,4,4,1.03,18,2
"P0420",2,"12:48:06",2,-1.6,1.8,2.2,0.67,28,12
"P0276",2,"12:48:03",2,-2,0,0,1.03,18,2
"P1172",1,"12:48:26",4,-0.1,0,3.9,1.03,18,1
"P1085",1,"12:49:20",4,-2,0,2,1.03,18,2
"P0420",3,"12:49:28",2.2,-0.5,1,2.7,1.03,18,1
"P1172",2,"12:49:28",3.9,-0.3,0,3.6,1.03,18,2
